ANSWER,HEADER,QUESTION,micro avg,macro avg,weighted avg,eval_loss,steps,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7608695652173914, 'recall': 0.03274087932647334, 'f1-score': 0.06278026905829598, 'support': 1069}","{'precision': 0.7608695652173914, 'recall': 0.017526289434151226, 'f1-score': 0.034263338228095935, 'support': 1997}","{'precision': 0.2536231884057971, 'recall': 0.01091362644215778, 'f1-score': 0.020926756352765325, 'support': 1997}","{'precision': 0.40729572619799265, 'recall': 0.017526289434151226, 'f1-score': 0.033606463506919586, 'support': 1997}",1.8374743461608887,18,2.1538538932800293
"{'precision': 0.8977272727272727, 'recall': 0.19530284301606923, 'f1-score': 0.3208121827411167, 'support': 809}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 119}","{'precision': 0.7085889570552147, 'recall': 0.6482694106641721, 'f1-score': 0.6770884220810942, 'support': 1069}","{'precision': 0.7374350086655113, 'recall': 0.4261392088132198, 'f1-score': 0.5401459854014597, 'support': 1997}","{'precision': 0.5354387432608291, 'recall': 0.28119075122674714, 'f1-score': 0.332633534940737, 'support': 1997}","{'precision': 0.7429859583016466, 'recall': 0.4261392088132198, 'f1-score': 0.4924109058799465, 'support': 1997}",1.3200989961624146,37,1.4227619171142578
"{'precision': 0.8185255198487713, 'recall': 0.5352286773794809, 'f1-score': 0.6472346786248131, 'support': 809}","{'precision': 1.0, 'recall': 0.01680672268907563, 'f1-score': 0.03305785123966942, 'support': 119}","{'precision': 0.8134615384615385, 'recall': 0.7913938260056127, 'f1-score': 0.8022759601706969, 'support': 1069}","{'precision': 0.8154042011457671, 'recall': 0.6414621932899349, 'f1-score': 0.7180493273542601, 'support': 1997}","{'precision': 0.87732901943677, 'recall': 0.44780974202472307, 'f1-score': 0.4941894966783931, 'support': 1997}","{'precision': 0.8266287081487435, 'recall': 0.6414621932899349, 'f1-score': 0.6936303158374909, 'support': 1997}",0.9877799153327942,56,0.9534339904785156
"{'precision': 0.7776280323450134, 'recall': 0.7132262051915945, 'f1-score': 0.7440361057382334, 'support': 809}","{'precision': 0.6285714285714286, 'recall': 0.18487394957983194, 'f1-score': 0.2857142857142857, 'support': 119}","{'precision': 0.8426197458455523, 'recall': 0.8063610851262862, 'f1-score': 0.824091778202677, 'support': 1069}","{'precision': 0.8116666666666666, 'recall': 0.7315973960941412, 'f1-score': 0.7695549117724518, 'support': 1997}","{'precision': 0.7496064022539981, 'recall': 0.5681537466325709, 'f1-score': 0.6179473898850655, 'support': 1997}","{'precision': 0.8035360973840816, 'recall': 0.7315973960941412, 'f1-score': 0.7595790287635916, 'support': 1997}",0.9457985162734985,75,0.4029557406902313
"{'precision': 0.8111587982832618, 'recall': 0.7008652657601978, 'f1-score': 0.7519893899204243, 'support': 809}","{'precision': 0.5319148936170213, 'recall': 0.21008403361344538, 'f1-score': 0.3012048192771084, 'support': 119}","{'precision': 0.8240827845719662, 'recall': 0.8194574368568756, 'f1-score': 0.8217636022514071, 'support': 1069}","{'precision': 0.8114980652294085, 'recall': 0.7351026539809714, 'f1-score': 0.771413557540725, 'support': 1997}","{'precision': 0.7223854921574163, 'recall': 0.5768022454101729, 'f1-score': 0.6249859371496466, 'support': 1997}","{'precision': 0.801437074040569, 'recall': 0.7351026539809714, 'f1-score': 0.7624777570086898, 'support': 1997}",0.8997395038604736,94,0.382377028465271
"{'precision': 0.8351477449455676, 'recall': 0.6637824474660075, 'f1-score': 0.7396694214876032, 'support': 809}","{'precision': 0.5660377358490566, 'recall': 0.25210084033613445, 'f1-score': 0.3488372093023256, 'support': 119}","{'precision': 0.8315789473684211, 'recall': 0.8129092609915809, 'f1-score': 0.8221381267738883, 'support': 1069}","{'precision': 0.8248133256748995, 'recall': 0.7190786179268903, 'f1-score': 0.7683253076511503, 'support': 1997}","{'precision': 0.7442548093876818, 'recall': 0.5762641829312409, 'f1-score': 0.6368815858546056, 'support': 1997}","{'precision': 0.817201257367974, 'recall': 0.7190786179268903, 'f1-score': 0.7605257122742786, 'support': 1997}",0.87715744972229,113,0.29309701919555664
"{'precision': 0.8453125, 'recall': 0.6687268232385661, 'f1-score': 0.7467218771566599, 'support': 809}","{'precision': 0.5079365079365079, 'recall': 0.2689075630252101, 'f1-score': 0.3516483516483517, 'support': 119}","{'precision': 0.8697435897435898, 'recall': 0.7932647333956969, 'f1-score': 0.8297455968688845, 'support': 1069}","{'precision': 0.8468414779499404, 'recall': 0.7115673510265398, 'f1-score': 0.7733333333333333, 'support': 1997}","{'precision': 0.7409975325600325, 'recall': 0.5769663732198244, 'f1-score': 0.642705275224632, 'support': 1997}","{'precision': 0.8382865069505968, 'recall': 0.7115673510265398, 'f1-score': 0.7676225315566996, 'support': 1997}",0.9014577865600586,132,0.3052403926849365
"{'precision': 0.7870722433460076, 'recall': 0.7676143386897404, 'f1-score': 0.7772215269086359, 'support': 809}","{'precision': 0.6511627906976745, 'recall': 0.23529411764705882, 'f1-score': 0.345679012345679, 'support': 119}","{'precision': 0.8545636910732196, 'recall': 0.7970065481758652, 'f1-score': 0.8247821878025168, 'support': 1069}","{'precision': 0.8206670311645708, 'recall': 0.7516274411617426, 'f1-score': 0.7846314688970204, 'support': 1997}","{'precision': 0.7642662417056338, 'recall': 0.5999716681708881, 'f1-score': 0.6492275756856106, 'support': 1997}","{'precision': 0.8151018541398173, 'recall': 0.7516274411617426, 'f1-score': 0.7769655365543879, 'support': 1997}",1.0187442302703857,151,0.126990407705307
"{'precision': 0.8111702127659575, 'recall': 0.754017305315204, 'f1-score': 0.7815502882767457, 'support': 809}","{'precision': 0.5671641791044776, 'recall': 0.31932773109243695, 'f1-score': 0.4086021505376344, 'support': 119}","{'precision': 0.8362573099415205, 'recall': 0.8026192703461179, 'f1-score': 0.8190930787589499, 'support': 1069}","{'precision': 0.816260162601626, 'recall': 0.7541311967951928, 'f1-score': 0.7839666840187404, 'support': 1997}","{'precision': 0.7381972339373185, 'recall': 0.6253214355845863, 'f1-score': 0.6697485058577767, 'support': 1997}","{'precision': 0.8100592407454071, 'recall': 0.7541311967951928, 'f1-score': 0.7794233051192705, 'support': 1997}",1.2258522510528564,170,0.12439808994531631
"{'precision': 0.836441893830703, 'recall': 0.7206427688504327, 'f1-score': 0.7742363877822046, 'support': 809}","{'precision': 0.6164383561643836, 'recall': 0.37815126050420167, 'f1-score': 0.46875, 'support': 119}","{'precision': 0.8541871921182266, 'recall': 0.8110383536014967, 'f1-score': 0.8320537428023034, 'support': 1069}","{'precision': 0.8375350140056023, 'recall': 0.7486229344016024, 'f1-score': 0.7905869910100476, 'support': 1997}","{'precision': 0.7690224807044377, 'recall': 0.6366107943187104, 'f1-score': 0.6916800435281694, 'support': 1997}","{'precision': 0.832831129127183, 'recall': 0.7486229344016024, 'f1-score': 0.7869824430503084, 'support': 1997}",1.1403189897537231,189,0.055909253656864166
