EFFECTIVE_DATE,JURISDICTION,PARTY,TERM,micro avg,macro avg,weighted avg,eval_loss,epoch,train_loss
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 55}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 296}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 448}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 125}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 924}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 924}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 924}",0.1494143009185791,0,0.10185850411653519
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 55}","{'precision': 0.346, 'recall': 0.5844594594594594, 'f1-score': 0.43467336683417085, 'support': 296}","{'precision': 0.43478260869565216, 'recall': 0.022321428571428572, 'f1-score': 0.04246284501061571, 'support': 448}","{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 125}","{'precision': 0.34990439770554493, 'recall': 0.19805194805194806, 'f1-score': 0.2529371112646856, 'support': 924}","{'precision': 0.19519565217391305, 'recall': 0.151695222007722, 'f1-score': 0.11928405296119664, 'support': 924}","{'precision': 0.3216435159043855, 'recall': 0.19805194805194806, 'f1-score': 0.159834059683626, 'support': 924}",0.04307527840137482,1,0.017653020098805428
"{'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 55}","{'precision': 0.5080500894454383, 'recall': 0.9594594594594594, 'f1-score': 0.664327485380117, 'support': 296}","{'precision': 0.8224852071005917, 'recall': 0.6205357142857143, 'f1-score': 0.7073791348600509, 'support': 448}","{'precision': 0.821917808219178, 'recall': 0.96, 'f1-score': 0.8856088560885609, 'support': 125}","{'precision': 0.6538830297219559, 'recall': 0.7380952380952381, 'f1-score': 0.6934417895271987, 'support': 924}","{'precision': 0.538113276191302, 'recall': 0.6349987934362934, 'f1-score': 0.5643288690821822, 'support': 924}","{'precision': 0.6727228628618096, 'recall': 0.7380952380952381, 'f1-score': 0.6755929600658956, 'support': 924}",0.03751037269830704,1,0.07312828302383423
"{'precision': 0.7777777777777778, 'recall': 0.12727272727272726, 'f1-score': 0.21874999999999994, 'support': 55}","{'precision': 0.587991718426501, 'recall': 0.9594594594594594, 'f1-score': 0.7291399229781772, 'support': 296}","{'precision': 0.927536231884058, 'recall': 0.42857142857142855, 'f1-score': 0.5862595419847328, 'support': 448}","{'precision': 0.9051724137931034, 'recall': 0.84, 'f1-score': 0.871369294605809, 'support': 125}","{'precision': 0.7214723926380369, 'recall': 0.6363636363636364, 'f1-score': 0.6762507188039102, 'support': 924}","{'precision': 0.7996195354703601, 'recall': 0.5888259038259038, 'f1-score': 0.6013796898921798, 'support': 924}","{'precision': 0.8068247944158203, 'recall': 0.6363636363636364, 'f1-score': 0.6487252206021936, 'support': 924}",0.011230576783418655,2,0.007644882425665855
"{'precision': 0.5555555555555556, 'recall': 0.36363636363636365, 'f1-score': 0.4395604395604396, 'support': 55}","{'precision': 0.5958333333333333, 'recall': 0.9662162162162162, 'f1-score': 0.7371134020618557, 'support': 296}","{'precision': 0.812933025404157, 'recall': 0.7857142857142857, 'f1-score': 0.7990919409761634, 'support': 448}","{'precision': 0.9008264462809917, 'recall': 0.872, 'f1-score': 0.8861788617886179, 'support': 125}","{'precision': 0.7168224299065421, 'recall': 0.8300865800865801, 'f1-score': 0.769307923771314, 'support': 924}","{'precision': 0.7162870901435094, 'recall': 0.7468917163917164, 'f1-score': 0.7154861610967691, 'support': 924}","{'precision': 0.7399561941432993, 'recall': 0.8300865800865801, 'f1-score': 0.769617898773844, 'support': 924}",0.021255549043416977,2,0.0016247178427875042
"{'precision': 0.5555555555555556, 'recall': 0.09090909090909091, 'f1-score': 0.15625, 'support': 55}","{'precision': 0.608955223880597, 'recall': 0.6891891891891891, 'f1-score': 0.6465927099841521, 'support': 296}","{'precision': 0.875, 'recall': 0.703125, 'f1-score': 0.7797029702970297, 'support': 448}","{'precision': 0.9067796610169492, 'recall': 0.856, 'f1-score': 0.8806584362139918, 'support': 125}","{'precision': 0.767639902676399, 'recall': 0.6829004329004329, 'f1-score': 0.722794959908362, 'support': 924}","{'precision': 0.7365726101132755, 'recall': 0.58480582002457, 'f1-score': 0.6158010291237934, 'support': 924}","{'precision': 0.7750581812243841, 'recall': 0.6829004329004329, 'f1-score': 0.7136086876354192, 'support': 924}",0.00413652416318655,3,0.0019367035711184144
"{'precision': 0.6, 'recall': 0.21818181818181817, 'f1-score': 0.32, 'support': 55}","{'precision': 0.5979166666666667, 'recall': 0.9695945945945946, 'f1-score': 0.7396907216494846, 'support': 296}","{'precision': 0.8463768115942029, 'recall': 0.6517857142857143, 'f1-score': 0.7364438839848676, 'support': 448}","{'precision': 0.852112676056338, 'recall': 0.968, 'f1-score': 0.9063670411985019, 'support': 125}","{'precision': 0.7213779128672746, 'recall': 0.7705627705627706, 'f1-score': 0.7451596023024595, 'support': 924}","{'precision': 0.7241015385793018, 'recall': 0.7018905317655317, 'f1-score': 0.6756254117082136, 'support': 924}","{'precision': 0.7528941876997602, 'recall': 0.7705627705627706, 'f1-score': 0.7356831101550658, 'support': 924}",0.03509388118982315,3,0.00682637607678771
"{'precision': 0.45161290322580644, 'recall': 0.2545454545454545, 'f1-score': 0.32558139534883723, 'support': 55}","{'precision': 0.6581986143187067, 'recall': 0.9628378378378378, 'f1-score': 0.7818930041152263, 'support': 296}","{'precision': 0.899390243902439, 'recall': 0.6584821428571429, 'f1-score': 0.7603092783505155, 'support': 448}","{'precision': 0.9047619047619048, 'recall': 0.912, 'f1-score': 0.9083665338645418, 'support': 125}","{'precision': 0.7712418300653595, 'recall': 0.7662337662337663, 'f1-score': 0.7687296416938111, 'support': 924}","{'precision': 0.7284909165522142, 'recall': 0.6969663588101088, 'f1-score': 0.6940375529197802, 'support': 924}","{'precision': 0.796198665453774, 'recall': 0.7662337662337663, 'f1-score': 0.7613762764030214, 'support': 924}",0.03358490392565727,4,0.01606510579586029
"{'precision': 0.48484848484848486, 'recall': 0.2909090909090909, 'f1-score': 0.3636363636363636, 'support': 55}","{'precision': 0.6059322033898306, 'recall': 0.9662162162162162, 'f1-score': 0.7447916666666667, 'support': 296}","{'precision': 0.9135802469135802, 'recall': 0.6607142857142857, 'f1-score': 0.7668393782383419, 'support': 448}","{'precision': 0.9112903225806451, 'recall': 0.904, 'f1-score': 0.9076305220883534, 'support': 125}","{'precision': 0.7460650577124869, 'recall': 0.7694805194805194, 'f1-score': 0.7575919019712307, 'support': 924}","{'precision': 0.7289128144331352, 'recall': 0.7054598982098982, 'f1-score': 0.6957244826574314, 'support': 924}","{'precision': 0.7891967963310834, 'recall': 0.7694805194805194, 'f1-score': 0.7548227164990852, 'support': 924}",0.032426316291093826,4,0.015849435701966286
"{'precision': 0.6, 'recall': 0.32727272727272727, 'f1-score': 0.4235294117647059, 'support': 55}","{'precision': 0.6072186836518046, 'recall': 0.9662162162162162, 'f1-score': 0.7457627118644068, 'support': 296}","{'precision': 0.8246913580246914, 'recall': 0.7455357142857143, 'f1-score': 0.7831184056271981, 'support': 448}","{'precision': 0.8931297709923665, 'recall': 0.936, 'f1-score': 0.9140625000000001, 'support': 125}","{'precision': 0.7280617164898746, 'recall': 0.8170995670995671, 'f1-score': 0.7700152983171851, 'support': 924}","{'precision': 0.7312599531672156, 'recall': 0.7437561644436644, 'f1-score': 0.7166182573140777, 'support': 924}","{'precision': 0.7509087447294824, 'recall': 0.8170995670995671, 'f1-score': 0.7674618382899437, 'support': 924}",0.07739836722612381,5,0.0005882036057300866
"{'precision': 0.5116279069767442, 'recall': 0.4, 'f1-score': 0.44897959183673475, 'support': 55}","{'precision': 0.6239130434782608, 'recall': 0.9695945945945946, 'f1-score': 0.7592592592592592, 'support': 296}","{'precision': 0.8902077151335311, 'recall': 0.6696428571428571, 'f1-score': 0.7643312101910827, 'support': 448}","{'precision': 0.8939393939393939, 'recall': 0.944, 'f1-score': 0.9182879377431905, 'support': 125}","{'precision': 0.7479423868312757, 'recall': 0.7867965367965368, 'f1-score': 0.7668776371308017, 'support': 924}","{'precision': 0.7299220148819826, 'recall': 0.745809362934363, 'f1-score': 0.7227144997575667, 'support': 924}","{'precision': 0.7828715112289311, 'recall': 0.7867965367965368, 'f1-score': 0.7647629790857847, 'support': 924}",0.021638158708810806,5,0.008169596083462238
"{'precision': 0.5428571428571428, 'recall': 0.34545454545454546, 'f1-score': 0.4222222222222222, 'support': 55}","{'precision': 0.6025369978858351, 'recall': 0.9628378378378378, 'f1-score': 0.741222366710013, 'support': 296}","{'precision': 0.8774928774928775, 'recall': 0.6875, 'f1-score': 0.7709637046307884, 'support': 448}","{'precision': 0.905982905982906, 'recall': 0.848, 'f1-score': 0.8760330578512396, 'support': 125}","{'precision': 0.735655737704918, 'recall': 0.7770562770562771, 'f1-score': 0.7557894736842106, 'support': 924}","{'precision': 0.7322174810546903, 'recall': 0.7109480958230958, 'f1-score': 0.7026103378535657, 'support': 924}","{'precision': 0.7733471499956953, 'recall': 0.7770562770562771, 'f1-score': 0.754891682548035, 'support': 924}",0.02056206576526165,6,0.0005742228240706027
